game,p0_delta,p0_fold_rate,p0_call_rate,p0_raise_rate,p0_actor_loss,p0_critic_loss,p0_sl_loss,p0_reservoir,p1_delta,p1_fold_rate,p1_call_rate,p1_raise_rate,p1_actor_loss,p1_critic_loss,p1_sl_loss,p1_reservoir,p2_delta,p2_fold_rate,p2_call_rate,p2_raise_rate,p2_actor_loss,p2_critic_loss,p2_sl_loss,p2_reservoir,p3_delta,p3_fold_rate,p3_call_rate,p3_raise_rate,p3_actor_loss,p3_critic_loss,p3_sl_loss,p3_reservoir
431,-10000,0.154,0.159,0.668,-120.168,3679.1746,0.7684,143,30000,0.181,0.059,0.754,0.1219,671.8167,1.2858,98,-10000,0.0,0.5,0.5,0.0044,0.0005,0.5991,211,-10000,0.179,0.09,0.712,-0.0431,5917.3091,1.1009,215
432,-10000,0.154,0.16,0.669,-120.168,3679.1746,0.8294,143,-1165,1.0,0.0,0.0,0.1219,671.8167,1.2858,98,21165,0.071,0.18,0.717,-0.0196,0.0001,0.5191,217,-10000,0.178,0.09,0.713,-0.0431,5917.3091,1.1009,215
433,-10000,0.153,0.16,0.668,-120.168,3679.1746,0.8294,143,-10000,0.181,0.059,0.755,0.1219,671.8167,1.2858,98,-10000,0.0,0.0,1.0,-0.0196,0.0001,0.5191,217,30000,0.179,0.089,0.712,-0.0431,5917.3091,0.9202,215
434,-10000,0.153,0.159,0.67,-0.0167,2434.4973,1.096,147,30000,0.181,0.058,0.756,0.0297,467.404,0.7109,100,-10000,0.0,0.5,0.5,-0.0196,0.0001,0.5191,217,-10000,0.179,0.09,0.712,-0.0431,5917.3091,0.9202,215
435,-10000,0.154,0.158,0.67,-0.0167,2434.4973,1.096,147,-10000,0.171,0.0,0.829,0.0297,467.404,0.7109,100,-10000,0.073,0.18,0.716,-8.243,5.6726,0.4383,218,30000,0.246,0.262,0.222,-0.0431,5917.3091,0.9202,215
436,30000,0.153,0.157,0.673,-0.0167,2434.4973,0.4368,147,-10000,0.0,0.5,0.5,0.0297,467.404,0.7109,100,-10000,0.234,0.21,0.173,-8.243,5.6726,0.4383,218,-10000,0.18,0.089,0.712,-0.1223,445.0788,1.0595,219
437,-10000,0.152,0.156,0.673,-0.0167,2434.4973,0.4368,147,-10000,0.0,0.091,0.909,0.0297,467.404,0.7109,100,30000,0.235,0.215,0.171,-8.243,5.6726,0.4383,218,-10000,0.18,0.091,0.709,-0.1223,445.0788,1.0595,219
438,-10000,0.152,0.155,0.674,-0.0021,3489.1335,0.5336,154,-10000,0.181,0.059,0.755,0.0297,467.404,0.7109,100,30000,0.237,0.214,0.172,-8.243,5.6726,0.4383,218,-10000,0.0,0.0,1.0,-0.1223,445.0788,1.0595,219
439,-10000,0.152,0.157,0.672,-0.0021,3489.1335,0.5792,154,-10000,0.18,0.059,0.756,0.0297,467.404,0.7109,100,-10000,0.0,0.5,0.5,-8.243,5.6726,0.4383,218,30000,0.237,0.25,0.223,-0.1223,445.0788,1.0595,219
440,-10000,0.151,0.158,0.673,-0.0021,3489.1335,1.034,154,-10000,0.375,0.0,0.625,0.0297,467.404,0.7109,100,30000,0.075,0.178,0.716,-0.038,0.1662,0.6398,221,-10000,0.181,0.092,0.708,-5.0793,97.7147,1.0746,220
